가게명,가게ID
"엔제리너스
김포롯데몰2호점",33252879
"롯데리아
염창",11825102
"롯데리아
신방화역",36992622
이디야커피 화곡로점,36547678
진주옥,1068763823
칼스토랑,1216724779
화곡 정육식당,1775901989
취선,ID 추출 실패
조선갈비,37792306
갈비예찬,1914306869
대동관,36639791
가양 정육식당,1424668079
"등촌동
한우1번지",38704615
다래목해물손칼국수,20928670
카페얼롱,1872833684
참맛설렁탕,1106611128
이가곰탕,1971130403
벼락 고깃집,1342027663
번동숯불갈비,11597551
라온김밥,1866990552
"가연마라탕,양꼬치",1103770872
솔밭,1271499435
원조부안집 덕성여대점,1170392185
명륜진사갈비 서울미아역점,1539672143
갈비예찬 미아점,13568221
서우샤브샤브 미아점,13490314
후룹파스타,1663137860
고봉숯불닭갈비,779808434
고메스퀘어 수유점,1899123616
"엔제리너스
수유역점",33252435
"롯데리아
덕성여대",35609381
"롯데리아
삼양사거리",37060589
"롯데리아
수유역점",1702297635
"이디야커피
가오리역점",1049428304
솔밭숯불갈비,1588839743
"착한낙지
수유본점",1490345492
문가네정육식당,34355838
살랑살랑샤브샤브,35178425
대물림남원추어탕,17907317
크을농,37864936
등촌샤브칼국수 둔촌역포레온점,1155886375
냐항in강동구청,1687666191
시찌린,13157998
미태리 고덕점,1319648198
코시 길동점,1761897889
아름다운제주돈,1145980551
본죽 강일지구점,21360086
드딜라이트 키친,36384364
개수리막국수 암사점,1205477180
공감99,1546898706
어거스트,1517291448
냐항in상일,1786471065
어반나이프 상일점,1009935289
미식,1070936858
이디야커피 강일점,1159539690
섬진강민물장어,1978892397
뚝배기손칼국수,13561358
풍촌코다리네 본점,38309857
채선당 월남쌈&샤브샤브 올림픽공원점,12862730
천하감자탕,13159253
린칭,1849745503
옛날불고기,1763751590
옛날불고기,18629039
"먼데이블루스
성내점",1494978957
"피스트
(FEAST)",1270872170
아빠가 만든 스파게티,13159944
벨라키친,1793950758
나무수,475067576
강셰프경양식,1090315258
미스터피자 명일점,37531676
빠네렌토,36387132
롤링파스타 고덕점,1180908525
포메인 고덕점,18577159
암사골목냉면,1349765627
디자인카페허브,37298006
롯데리아 고덕역점,13321840
"롯데리아
천호역",1440052626
유천냉면,1149192397
방가네추어탕,38731452
정돈 신사점,148179327
정돈 강남점,1183428863
무탄 코엑스몰 본점,1583057180
나폴리회관,254053959
천미미,1154124309
토담골49,11621606
남산희래등,13172001
일일향,36538591
불이야,11818472
24시공리훠궈&짬뽕,38018302
"롯데리아
학동",33674984
"이디야커피 
선릉역점",1608485528
"이디야커피 
학동역점",1283572870
연화산,65090515
한티옥,18466341
"하영호
신촌설렁탕(본점)",10985460
"평양면옥
(도곡점)",34882345
